Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
213.23	3.8000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
213.23	3.8000	0.50595	1.9765	71.449	72.200	0.36070	1.4579	2.5942	1091.6	-0.030361	119.23	0.14042	0.011718	liquid
213.23	3.8000	0.0070519	141.81	465.43	519.31	2.4575	1.2449	1.6521	254.35	2.8722	6.6764	0.012328	undefined	vapor
213.67	3.8667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
213.67	3.8667	0.50532	1.9789	72.587	73.352	0.36603	1.4585	2.5973	1088.0	-0.030097	118.64	0.14002	0.011651	liquid
213.67	3.8667	0.0071690	139.49	465.79	519.73	2.4551	1.2472	1.6563	254.39	2.8594	6.6906	0.012380	undefined	vapor
214.11	3.9333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
214.11	3.9333	0.50471	1.9813	73.711	74.490	0.37129	1.4591	2.6004	1084.6	-0.029833	118.05	0.13963	0.011584	liquid
214.11	3.9333	0.0072861	137.25	466.15	520.13	2.4527	1.2494	1.6605	254.42	2.8468	6.7047	0.012432	undefined	vapor
214.54	4.0000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
214.54	4.0000	0.50410	1.9837	74.822	75.616	0.37648	1.4597	2.6034	1081.1	-0.029571	117.48	0.13925	0.011519	liquid
214.54	4.0000	0.0074032	135.08	466.50	520.54	2.4503	1.2516	1.6647	254.45	2.8345	6.7186	0.012483	undefined	vapor
214.97	4.0667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
214.97	4.0667	0.50350	1.9861	75.921	76.729	0.38160	1.4603	2.6065	1077.7	-0.029309	116.91	0.13887	0.011454	liquid
214.97	4.0667	0.0075202	132.98	466.85	520.93	2.4480	1.2538	1.6689	254.48	2.8224	6.7324	0.012534	undefined	vapor
215.39	4.1333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
215.39	4.1333	0.50290	1.9885	77.007	77.829	0.38665	1.4608	2.6096	1074.4	-0.029048	116.36	0.13850	0.011390	liquid
215.39	4.1333	0.0076372	130.94	467.20	521.32	2.4457	1.2560	1.6730	254.50	2.8105	6.7460	0.012584	undefined	vapor
215.80	4.2000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
