Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	5.0667	0.0063979	156.30	580.33	659.53	2.9343	1.4853	1.8110	304.45	1.1211	9.2851	0.021120	vapor
298.00	5.1333	0.0064857	154.19	580.24	659.39	2.9304	1.4856	1.8120	304.34	1.1216	9.2862	0.021127	vapor
298.00	5.2000	0.0065735	152.13	580.15	659.26	2.9265	1.4858	1.8130	304.22	1.1221	9.2872	0.021134	vapor
298.00	5.2667	0.0066614	150.12	580.06	659.12	2.9227	1.4861	1.8140	304.11	1.1226	9.2883	0.021141	vapor
298.00	5.3333	0.0067495	148.16	579.97	658.98	2.9189	1.4863	1.8150	303.99	1.1231	9.2894	0.021149	vapor
298.00	5.4000	0.0068376	146.25	579.87	658.85	2.9151	1.4866	1.8160	303.88	1.1236	9.2904	0.021156	vapor
298.00	5.4667	0.0069259	144.39	579.78	658.71	2.9114	1.4868	1.8170	303.76	1.1241	9.2915	0.021163	vapor
298.00	5.5333	0.0070142	142.57	579.69	658.58	2.9078	1.4871	1.8180	303.65	1.1246	9.2926	0.021170	vapor
298.00	5.6000	0.0071026	140.79	579.60	658.44	2.9041	1.4874	1.8190	303.53	1.1252	9.2937	0.021177	vapor
298.00	5.6667	0.0071912	139.06	579.50	658.30	2.9006	1.4876	1.8200	303.42	1.1257	9.2948	0.021184	vapor
298.00	5.7333	0.0072798	137.37	579.41	658.17	2.8970	1.4879	1.8210	303.30	1.1262	9.2959	0.021192	vapor
298.00	5.8000	0.0073686	135.71	579.32	658.03	2.8935	1.4881	1.8220	303.18	1.1267	9.2970	0.021199	vapor
298.00	5.8667	0.0074574	134.09	579.22	657.89	2.8900	1.4884	1.8231	303.07	1.1272	9.2981	0.021206	vapor
298.00	5.9333	0.0075464	132.51	579.13	657.76	2.8866	1.4886	1.8241	302.95	1.1277	9.2992	0.021214	vapor
298.00	6.0000	0.0076354	130.97	579.04	657.62	2.8832	1.4889	1.8251	302.84	1.1282	9.3003	0.021221	vapor
298.00	6.0667	0.0077246	129.46	578.94	657.48	2.8798	1.4892	1.8262	302.72	1.1288	9.3014	0.021228	vapor
298.00	6.1333	0.0078139	127.98	578.85	657.34	2.8765	1.4894	1.8272	302.60	1.1293	9.3026	0.021235	vapor
298.00	6.2000	0.0079032	126.53	578.76	657.21	2.8731	1.4897	1.8282	302.49	1.1298	9.3037	0.021243	vapor
298.00	6.2667	0.0079927	125.11	578.66	657.07	2.8699	1.4900	1.8293	302.37	1.1303	9.3048	0.021250	vapor
298.00	6.3333	0.0080823	123.73	578.57	656.93	2.8666	1.4902	1.8303	302.25	1.1308	9.3060	0.021258	vapor
298.00	6.4000	0.0081720	122.37	578.48	656.79	2.8634	1.4905	1.8314	302.14	1.1314	9.3071	0.021265	vapor
298.00	6.4667	0.0082618	121.04	578.38	656.65	2.8602	1.4908	1.8324	302.02	1.1319	9.3083	0.021272	vapor
298.00	6.5333	0.0083516	119.74	578.29	656.52	2.8571	1.4910	1.8335	301.90	1.1324	9.3094	0.021280	vapor
298.00	6.6000	0.0084416	118.46	578.19	656.38	2.8539	1.4913	1.8345	301.79	1.1329	9.3106	0.021287	vapor
298.00	6.6667	0.0085317	117.21	578.10	656.24	2.8508	1.4915	1.8356	301.67	1.1334	9.3118	0.021295	vapor
298.00	6.7333	0.0086219	115.98	578.00	656.10	2.8478	1.4918	1.8367	301.55	1.1340	9.3129	0.021302	vapor
298.00	6.8000	0.0087123	114.78	577.91	655.96	2.8447	1.4921	1.8377	301.43	1.1345	9.3141	0.021310	vapor
298.00	6.8667	0.0088027	113.60	577.82	655.82	2.8417	1.4924	1.8388	301.32	1.1350	9.3153	0.021318	vapor
298.00	6.9333	0.0088932	112.45	577.72	655.68	2.8387	1.4926	1.8399	301.20	1.1355	9.3165	0.021325	vapor
298.00	7.0000	0.0089838	111.31	577.63	655.54	2.8357	1.4929	1.8410	301.08	1.1360	9.3177	0.021333	vapor
298.00	7.0667	0.0090746	110.20	577.53	655.40	2.8328	1.4932	1.8421	300.96	1.1366	9.3189	0.021340	vapor
298.00	7.1333	0.0091654	109.11	577.44	655.26	2.8299	1.4934	1.8432	300.85	1.1371	9.3201	0.021348	vapor
298.00	7.2000	0.0092564	108.03	577.34	655.12	2.8270	1.4937	1.8442	300.73	1.1376	9.3213	0.021356	vapor
298.00	7.2667	0.0093475	106.98	577.25	654.98	2.8241	1.4940	1.8453	300.61	1.1381	9.3225	0.021363	vapor
298.00	7.3333	0.0094387	105.95	577.15	654.84	2.8212	1.4943	1.8464	300.49	1.1387	9.3237	0.021371	vapor
298.00	7.4000	0.0095299	104.93	577.05	654.70	2.8184	1.4945	1.8475	300.37	1.1392	9.3250	0.021379	vapor
298.00	7.4667	0.0096213	103.94	576.96	654.56	2.8156	1.4948	1.8487	300.25	1.1397	9.3262	0.021386	vapor
298.00	7.5333	0.0097129	102.96	576.86	654.42	2.8128	1.4951	1.8498	300.14	1.1403	9.3274	0.021394	vapor
298.00	7.6000	0.0098045	101.99	576.77	654.28	2.8100	1.4954	1.8509	300.02	1.1408	9.3287	0.021402	vapor
